city,observed_at,temperature_c,apparent_temperature_c,relative_humidity_pct,wind_speed_kmh
São Paulo,2026-09-08T18:45:00+00:00,20.5,22.1,73,1.6
Assis,2026-09-10T16:00:00+00:00,26.9,29.3,70,13.1
